	text	pos
1097	##액을	[('#', 'SW'), ('#', 'SW'), ('액', 'NNG'), ('을', 'JKO')]
1098	책을	[('책', 'NNG'), ('을', 'JKO')]
1099	##는가	[('#', 'SW'), ('#', 'SW'), ('는', 'JX'), ('가', 'VV'), ('아', 'EC')]
1100	미국은	[('미국', 'NNP'), ('은', 'JX')]
1101	##곳에서	[('#', 'SW'), ('#', 'SW'), ('곳', 'NNG'), ('에서', 'JKB')]
1102	##위에서	[('#', 'SW'), ('#', 'SW'), ('위', 'NNG'), ('에서', 'JKB')]
1103	##아의	[('#', 'SW'), ('#', 'SW'), ('아', 'NNP'), ('의', 'JKG')]
1104	##억원으로	[('#', 'SW'), ('#', 'SW'), ('억', 'NR'), ('원', 'NNB'), ('으로', 'JKB')]
1105	안드로	[('알', 'VV'), ('ㄴ', 'ETM'), ('드', 'NNP'), ('로', 'JKB')]
1106	혜택을	[('혜택', 'NNG'), ('을', 'JKO')]
1107	탓에	[('탓', 'NNG'), ('에', 'JKB')]
1108	반응을	[('반응', 'NNG'), ('을', 'JKO')]
1109	월에	[('월', 'NNB'), ('에', 'JKB')]
1110	##쪽에	[('#', 'SW'), ('#', 'SW'), ('쪽', 'NNB'), ('에', 'JKB')]
1111	##망을	[('#', 'SW'), ('#', 'SW'), ('망', 'NNG'), ('을', 'JKO')]
1112	어려움을	[('어려움', 'NNG'), ('을', 'JKO')]
1113	##기까지	[('#', 'SW'), ('#', 'SW'), ('이', 'VCP'), ('기', 'ETN'), ('까지', 'JX')]
1114	국가의	[('국가', 'NNG'), ('의', 'JKG')]
1115	##면에	[('#', 'SW'), ('#', 'SW'), ('면', 'NNG'), ('에', 'JKB')]
1116	인간의	[('인간', 'NNG'), ('의', 'JKG')]
1117	##법은	[('#', 'SW'), ('#', 'SW'), ('법', 'NNG'), ('은', 'JX')]
1118	목소리를	[('목소리', 'NNG'), ('를', 'JKO')]
1119	##안의	[('#', 'SW'), ('#', 'SW'), ('안', 'NNP'), ('의', 'JKG')]
1120	집으로	[('집', 'NNG'), ('으로', 'JKB')]
1121	##군에	[('#', 'SW'), ('#', 'SW'), ('군', 'NNG'), ('에', 'JKB')]
1122	내용은	[('내용', 'NNG'), ('은', 'JX')]
1123	##하지는	[('#', 'SW'), ('#', 'SW'), ('하지', 'NNP'), ('는', 'JX')]
1124	아이를	[('아이', 'NNG'), ('를', 'JKO')]
1125	##단으로	[('#', 'SW'), ('#', 'SW'), ('단', 'NNP'), ('으로', 'JKB')]
1126	현재는	[('현재', 'NNG'), ('는', 'JX')]
1127	시장을	[('시장', 'NNG'), ('을', 'JKO')]
1128	당신은	[('당신', 'NP'), ('은', 'JX')]
1129	##화로	[('#', 'SW'), ('#', 'SW'), ('화', 'XSN'), ('로', 'JKB')]
1130	##터를	[('#', 'SW'), ('#', 'SW'), ('터', 'NNB'), ('를', 'JKO')]
1131	부분을	[('부분', 'NNG'), ('을', 'JKO')]
1132	##제와	[('#', 'SW'), ('#', 'SW'), ('제', 'XSN'), ('와', 'JC')]
1133	당국은	[('당국', 'NNG'), ('은', 'JX')]
1134	손에	[('손', 'NNG'), ('에', 'JKB')]
1135	마지막으로	[('마지막', 'NNG'), ('으로', 'JKB')]
1136	##상과	[('#', 'SW'), ('#', 'SW'), ('상', 'XSN'), ('과', 'JC')]
1137	쪽으로	[('쪽', 'NNB'), ('으로', 'JKB')]
1138	##야말로	[('#', 'SW'), ('#', 'SW'), ('야말로', 'JX')]
1139	현재까지	[('현재', 'NNG'), ('까지', 'JX')]
1140	시장은	[('시장', 'NNG'), ('은', 'JX')]
1141	공을	[('공', 'NNG'), ('을', 'JKO')]
1142	머리를	[('머리', 'NNG'), ('를', 'JKO')]
1143	##방에	[('#', 'SW'), ('#', 'SW'), ('방', 'NNG'), ('에', 'JKB')]
1144	##성으로	[('#', 'SW'), ('#', 'SW'), ('성', 'XSN'), ('으로', 'JKB')]
1145	시스템을	[('시스템', 'NNG'), ('을', 'JKO')]
1146	##주에	[('#', 'SW'), ('#', 'SW'), ('주', 'NNP'), ('에', 'JKB')]
1147	##물에	[('#', 'SW'), ('#', 'SW'), ('물', 'NNG'), ('에', 'JKB')]
1148	내는	[('내', 'NP'), ('는', 'JX')]
1149	##트에서	[('#', 'SW'), ('#', 'SW'), ('트', 'VV'), ('에', 'EC'), ('서', 'JKB')]
1150	세계에서	[('세계', 'NNG'), ('에서', 'JKB')]
1151	##만은	[('#', 'SW'), ('#', 'SW'), ('만', 'JX'), ('은', 'JX')]
1152	그에게	[('그', 'NP'), ('에게', 'JKB')]
1153	점은	[('점', 'NNB'), ('은', 'JX')]
1154	행동을	[('행동', 'NNG'), ('을', 'JKO')]
1155	대표의	[('대표', 'NNG'), ('의', 'JKG')]
1156	반대로	[('반대', 'NNG'), ('로', 'JKB')]
1157	소리를	[('소리', 'NNG'), ('를', 'JKO')]
1158	현장에서	[('현장', 'NNG'), ('에서', 'JKB')]
1159	성과를	[('성과', 'NNG'), ('를', 'JKO')]
1160	##억원의	[('#', 'SW'), ('#', 'SW'), ('억', 'NR'), ('원', 'NNB'), ('의', 'JKG')]
1161	것이란	[('것', 'NNB'), ('이란', 'JX')]
1162	목적으로	[('목적', 'NNG'), ('으로', 'JKB')]
1163	의혹을	[('의혹', 'NNG'), ('을', 'JKO')]
1164	김씨는	[('김', 'NNP'), ('씨', 'NNB'), ('는', 'JX')]
1165	얼굴을	[('얼굴', 'NNG'), ('을', 'JKO')]
1166	소셜	[('소', 'NNG'), ('시', 'VA'), ('어', 'EC'), ('ㄹ', 'JKO')]
1167	판결을	[('판결', 'NNG'), ('을', 'JKO')]
1168	중국은	[('중국', 'NNP'), ('은', 'JX')]
1169	번의	[('번', 'NNB'), ('의', 'JKG')]
1170	시작으로	[('시작', 'NNG'), ('으로', 'JKB')]
1171	참고로	[('참고', 'NNG'), ('로', 'JKB')]
1172	##측은	[('#', 'SW'), ('#', 'SW'), ('측', 'NNB'), ('은', 'JX')]
1173	주장을	[('주장', 'NNG'), ('을', 'JKO')]
1174	##서에서	[('#', 'SW'), ('#', 'SW'), ('서', 'NNP'), ('에서', 'JKB')]
1175	뒤를	[('뒤', 'NNG'), ('를', 'JKO')]
1176	자리에	[('자리', 'NNG'), ('에', 'JKB')]
1177	1위를	[('1', 'SN'), ('위', 'NNB'), ('를', 'JKO')]
1178	##역에서	[('#', 'SW'), ('#', 'SW'), ('역', 'NNG'), ('에서', 'JKB')]
1179	이름으로	[('이름', 'NNG'), ('으로', 'JKB')]
1180	##술을	[('#', 'SW'), ('#', 'SW'), ('술', 'NNG'), ('을', 'JKO')]
1181	기록을	[('기록', 'NNG'), ('을', 'JKO')]
1182	목숨을	[('목숨', 'NNG'), ('을', 'JKO')]
1183	차를	[('차', 'NNG'), ('를', 'JKO')]
1184	지역을	[('지역', 'NNG'), ('을', 'JKO')]
1185	재판부는	[('재판부', 'NNG'), ('는', 'JX')]
1186	##해주는	[('#', 'SW'), ('#', 'SW'), ('해주', 'NNP'), ('는', 'JX')]
1187	##도에서	[('#', 'SW'), ('#', 'SW'), ('도', 'JX'), ('에서', 'JKB')]
1188	의지를	[('의지', 'NNG'), ('를', 'JKO')]
1189	##골을	[('#', 'SW'), ('#', 'SW'), ('골', 'NNG'), ('을', 'JKO')]
1190	##리포니아	[('#', 'SW'), ('#', 'SW'), ('리', 'NNP'), ('포니', 'NNP'), ('아', 'JKV')]
1191	##양을	[('#', 'SW'), ('#', 'SW'), ('양', 'NNP'), ('을', 'JKO')]
1192	##식은	[('#', 'SW'), ('#', 'SW'), ('식', 'NNB'), ('은', 'JX')]
1193	##선으로	[('#', 'SW'), ('#', 'SW'), ('선', 'NNG'), ('으로', 'JKB')]
1194	##니는	[('#', 'SW'), ('#', 'SW'), ('니', 'NP'), ('는', 'JX')]
1195	##인에게	[('#', 'SW'), ('#', 'SW'), ('인', 'NNG'), ('에게', 'JKB')]
1196	##나와	[('#', 'SW'), ('#', 'SW'), ('나', 'NP'), ('와', 'JKB')]
1197	사건에	[('사건', 'NNG'), ('에', 'JKB')]
1198	##단과	[('#', 'SW'), ('#', 'SW'), ('단', 'NNP'), ('과', 'JC')]
1199	여성의	[('여성', 'NNG'), ('의', 'JKG')]
1200	##관과	[('#', 'SW'), ('#', 'SW'), ('관', 'NNG'), ('과', 'JC')]
1201	##체에	[('#', 'SW'), ('#', 'SW'), ('체', 'NNG'), ('에', 'JKB')]
1202	##일은	[('#', 'SW'), ('#', 'SW'), ('일', 'NNP'), ('은', 'JX')]
1203	회장의	[('회장', 'NNG'), ('의', 'JKG')]
1204	##석은	[('#', 'SW'), ('#', 'SW'), ('석', 'NNP'), ('은', 'JX')]
1205	이후로	[('이후', 'NNG'), ('로', 'JKB')]
1206	##말을	[('#', 'SW'), ('#', 'SW'), ('말', 'NNG'), ('을', 'JKO')]
1207	##나의	[('#', 'SW'), ('#', 'SW'), ('나', 'NP'), ('의', 'JKG')]
1208	##조사를	[('#', 'SW'), ('#', 'SW'), ('조사', 'NNP'), ('를', 'JKO')]
1209	##차의	[('#', 'SW'), ('#', 'SW'), ('차', 'NNP'), ('의', 'JKG')]
1210	##식의	[('#', 'SW'), ('#', 'SW'), ('식', 'NNB'), ('의', 'JKG')]
1211	가격은	[('가격', 'NNG'), ('은', 'JX')]
1212	위의	[('위', 'NNG'), ('의', 'JKG')]
1213	##예요	[('#', 'SW'), ('#', 'SW'), ('예', 'NNG'), ('요', 'JX')]
1214	거기에	[('거기', 'NP'), ('에', 'JKB')]
1215	점도	[('점', 'NNB'), ('도', 'JX')]
1216	##관으로	[('#', 'SW'), ('#', 'SW'), ('관', 'NNG'), ('으로', 'JKB')]
1217	메시지를	[('메시지', 'NNG'), ('를', 'JKO')]
1218	발언을	[('발언', 'NNG'), ('을', 'JKO')]
1219	##패를	[('#', 'SW'), ('#', 'SW'), ('패', 'NNG'), ('를', 'JKO')]
1220	##물은	[('#', 'SW'), ('#', 'SW'), ('물', 'NNG'), ('은', 'JX')]
1221	하나는	[('하나', 'NR'), ('는', 'JX')]
1222	이유를	[('이유', 'NNG'), ('를', 'JKO')]
1223	##활동을	[('#', 'SW'), ('#', 'SW'), ('활동', 'NNG'), ('을', 'JKO')]
1224	뒤로	[('뒤', 'NNG'), ('로', 'JKB')]
1225	방법으로	[('방법', 'NNG'), ('으로', 'JKB')]
1226	본격적으로	[('본격', 'XR'), ('적', 'XSN'), ('으로', 'JKB')]
1227	##에게도	[('#', 'SW'), ('#', 'SW'), ('에게', 'JKB'), ('도', 'JX')]
1228	부담을	[('부담', 'NNG'), ('을', 'JKO')]
1229	원을	[('원', 'NNB'), ('을', 'JKO')]
1230	기자회견을	[('기자회견', 'NNP'), ('을', 'JKO')]
1231	행사를	[('행사', 'NNG'), ('를', 'JKO')]
1232	의미를	[('의미', 'NNG'), ('를', 'JKO')]
1233	##라를	[('#', 'SW'), ('#', 'SW'), ('라', 'NNG'), ('를', 'JKO')]
1234	누구나	[('누구', 'NP'), ('나', 'JX')]
1235	한국은	[('한국', 'NNP'), ('은', 'JX')]
1236	절차를	[('절차', 'NNG'), ('를', 'JKO')]
1237	의사를	[('의사', 'NNG'), ('를', 'JKO')]
1238	##거든요	[('#', 'SW'), ('#', 'SW'), ('거', 'NNB'), ('이', 'VCP'), ('든', 'EC'), ('요', 'JX')]
1239	##부에서	[('#', 'SW'), ('#', 'SW'), ('부', 'NNG'), ('에서', 'JKB')]
1240	##형의	[('#', 'SW'), ('#', 'SW'), ('형', 'NNG'), ('의', 'JKG')]
1241	분위기를	[('분위기', 'NNG'), ('를', 'JKO')]
1242	부분은	[('부분', 'NNG'), ('은', 'JX')]
1243	마음에	[('마음', 'NNG'), ('에', 'JKB')]
1244	부터	[('부터', 'JX')]
1245	비용을	[('비용', 'NNG'), ('을', 'JKO')]
1246	##통을	[('#', 'SW'), ('#', 'SW'), ('통', 'NNG'), ('을', 'JKO')]
1247	##마를	[('#', 'SW'), ('#', 'SW'), ('마르', 'NNP'), ('ㄹ', 'JKO')]
1248	##류의	[('#', 'SW'), ('#', 'SW'), ('류', 'NNP'), ('의', 'JKG')]
1249	##청에	[('#', 'SW'), ('#', 'SW'), ('청', 'NNP'), ('에', 'JKB')]
1250	옆에	[('옆', 'NNG'), ('에', 'JKB')]
1251	##판에	[('#', 'SW'), ('#', 'SW'), ('판', 'NNP'), ('에', 'JKB')]
1252	데다	[('데', 'NNB'), ('다', 'JX')]
1253	새누리당은	[('새누리당', 'NNP'), ('은', 'JX')]
1254	사실은	[('사실', 'NNG'), ('은', 'JX')]
1255	##권은	[('#', 'SW'), ('#', 'SW'), ('권', 'NNP'), ('은', 'JX')]
1256	명을	[('명', 'NNB'), ('을', 'JKO')]
1257	후보를	[('후보', 'NNG'), ('를', 'JKO')]
1258	##나요	[('#', 'SW'), ('#', 'SW'), ('나', 'NP'), ('요', 'JX')]
1259	##국에서	[('#', 'SW'), ('#', 'SW'), ('국', 'NNG'), ('에서', 'JKB')]
1260	교육을	[('교육', 'NNG'), ('을', 'JKO')]
1261	시간에	[('시간', 'NNG'), ('에', 'JKB')]
1262	부상을	[('부상', 'NNG'), ('을', 'JKO')]
1263	옷을	[('옷', 'NNG'), ('을', 'JKO')]
1264	##관계를	[('#', 'SW'), ('#', 'SW'), ('관계', 'NNG'), ('를', 'JKO')]
1265	밖으로	[('밖', 'NNG'), ('으로', 'JKB')]
1266	생활을	[('생활', 'NNG'), ('을', 'JKO')]
1267	사건의	[('사건', 'NNG'), ('의', 'JKG')]
1268	대책을	[('대책', 'NNG'), ('을', 'JKO')]
1269	삶의	[('삶', 'NNG'), ('의', 'JKG')]
1270	대해선	[('대하', 'VV'), ('아서', 'EC'), ('ㄴ', 'JX')]
1271	업무를	[('업무', 'NNG'), ('를', 'JKO')]
1272	기본적으로	[('기본', 'NNG'), ('적', 'XSN'), ('으로', 'JKB')]
1273	##달을	[('#', 'SW'), ('#', 'SW'), ('달', 'NNG'), ('을', 'JKO')]
1274	##탄을	[('#', 'SW'), ('#', 'SW'), ('탄', 'NNG'), ('을', 'JKO')]
1275	이후에	[('이후', 'NNG'), ('에', 'JKB')]
1276	##이야	[('#', 'SW'), ('#', 'SW'), ('이야', 'JX')]
1277	때부터	[('때', 'NNG'), ('부터', 'JX')]
1278	##색을	[('#', 'SW'), ('#', 'SW'), ('색', 'NNG'), ('을', 'JKO')]
1279	끝까지	[('끝', 'NNG'), ('까지', 'JX')]
1280	##비로	[('#', 'SW'), ('#', 'SW'), ('비', 'NNG'), ('로', 'JKB')]
1281	##번에	[('#', 'SW'), ('#', 'SW'), ('번', 'NNB'), ('에', 'JKB')]
1282	대통령을	[('대통령', 'NNG'), ('을', 'JKO')]
1283	문의	[('문', 'NNG'), ('의', 'JKG')]
1284	전부터	[('전', 'NNG'), ('부터', 'JX')]
1285	올해는	[('올해', 'NNG'), ('는', 'JX')]
1286	##당에	[('#', 'SW'), ('#', 'SW'), ('당', 'NNP'), ('에', 'JKB')]
1287	결과에	[('결과', 'NNG'), ('에', 'JKB')]
1288	이름은	[('이름', 'NNG'), ('은', 'JX')]
1289	##하기에	[('#', 'SW'), ('#', 'SW'), ('하기', 'NNP'), ('에', 'JKB')]
1290	팀의	[('팀', 'NNG'), ('의', 'JKG')]
1291	##담을	[('#', 'SW'), ('#', 'SW'), ('담', 'NNG'), ('을', 'JKO')]
1292	사건은	[('사건', 'NNG'), ('은', 'JX')]
1293	소송을	[('소송', 'NNG'), ('을', 'JKO')]
1294	피의	[('피', 'NNG'), ('의', 'JKG')]
1295	##층의	[('#', 'SW'), ('#', 'SW'), ('층', 'XSN'), ('의', 'JKG')]
1296	##건으로	[('#', 'SW'), ('#', 'SW'), ('건', 'NNB'), ('으로', 'JKB')]
1297	인사를	[('인사', 'NNG'), ('를', 'JKO')]
1298	출신의	[('출신', 'NNG'), ('의', 'JKG')]
1299	##종을	[('#', 'SW'), ('#', 'SW'), ('종', 'NNG'), ('을', 'JKO')]
1300	##미는	[('#', 'SW'), ('#', 'SW'), ('미', 'NNP'), ('는', 'JX')]
1301	음식을	[('음식', 'NNG'), ('을', 'JKO')]
1302	##공을	[('#', 'SW'), ('#', 'SW'), ('공', 'NNP'), ('을', 'JKO')]
1303	회의를	[('회의', 'NNG'), ('를', 'JKO')]
1304	연구원은	[('연구원', 'NNP'), ('은', 'JX')]
1305	##등을	[('#', 'SW'), ('#', 'SW'), ('등', 'NNB'), ('을', 'JKO')]
1306	##설을	[('#', 'SW'), ('#', 'SW'), ('설', 'NNG'), ('을', 'JKO')]
1307	그럼에도	[('그렇', 'VA'), ('ㅁ', 'ETN'), ('에', 'JKB'), ('도', 'JX')]
1308	##병을	[('#', 'SW'), ('#', 'SW'), ('병', 'NNG'), ('을', 'JKO')]
1309	최악의	[('최악', 'NNG'), ('의', 'JKG')]
1310	##해질	[('#', 'SW'), ('#', 'SW'), ('해지', 'NNP'), ('ㄹ', 'JKO')]
1311	##자들과	[('#', 'SW'), ('#', 'SW'), ('자', 'NNB'), ('들', 'XSN'), ('과', 'JC')]
1312	정부에	[('정부', 'NNG'), ('에', 'JKB')]
1313	가치를	[('가치', 'NNG'), ('를', 'JKO')]
1314	검찰에	[('검찰', 'NNG'), ('에', 'JKB')]
1315	이미지를	[('이미지', 'NNG'), ('를', 'JKO')]
1316	##먼트	[('#', 'SW'), ('#', 'SW'), ('머', 'NP'), ('ㄴ', 'JX'), ('트', 'VV')]
1317	##은행은	[('#', 'SW'), ('#', 'SW'), ('은행', 'NNP'), ('은', 'JX')]
1318	시는	[('시', 'NNB'), ('는', 'JX')]
1319	##호의	[('#', 'SW'), ('#', 'SW'), ('호', 'NNB'), ('의', 'JKG')]
1320	##되기도	[('#', 'SW'), ('#', 'SW'), ('되', 'VV'), ('기', 'ETN'), ('도', 'JX')]
1321	##하기를	[('#', 'SW'), ('#', 'SW'), ('하기', 'NNP'), ('를', 'JKO')]
1322	이들을	[('이', 'NP'), ('들', 'XSN'), ('을', 'JKO')]
1323	곳으로	[('곳', 'NNG'), ('으로', 'JKB')]
1324	사장은	[('사장', 'NNG'), ('은', 'JX')]
1325	##씨에게	[('#', 'SW'), ('#', 'SW'), ('씨', 'NNB'), ('에게', 'JKB')]
1326	최선을	[('최선', 'NNG'), ('을', 'JKO')]
1327	##집을	[('#', 'SW'), ('#', 'SW'), ('집', 'NNG'), ('을', 'JKO')]
1328	달러를	[('달러', 'NNB'), ('를', 'JKO')]
1329	가격을	[('가격', 'NNG'), ('을', 'JKO')]
1330	경험을	[('경험', 'NNG'), ('을', 'JKO')]
1331	말도	[('말', 'NNG'), ('도', 'JX')]
1332	토대로	[('토대', 'NNG'), ('로', 'JKB')]
1333	방식을	[('방식', 'NNG'), ('을', 'JKO')]
1334	##우를	[('#', 'SW'), ('#', 'SW'), ('우', 'NNP'), ('를', 'JKO')]
1335	기반으로	[('기반', 'NNG'), ('으로', 'JKB')]
1336	소식을	[('소식', 'NNG'), ('을', 'JKO')]
1337	카드를	[('카드', 'NNG'), ('를', 'JKO')]
1338	##르의	[('#', 'SW'), ('#', 'SW'), ('르', 'NNG'), ('의', 'JKG')]
1339	것보다	[('것', 'NNB'), ('보다', 'JKB')]
1340	적을	[('적', 'NNB'), ('을', 'JKO')]
1341	##고에	[('#', 'SW'), ('#', 'SW'), ('고', 'NNP'), ('에', 'JKB')]
1342	얘기를	[('얘기', 'NNG'), ('를', 'JKO')]
1343	위기에	[('위기', 'NNG'), ('에', 'JKB')]
1344	##국으로	[('#', 'SW'), ('#', 'SW'), ('국', 'NNG'), ('으로', 'JKB')]
1345	##사들은	[('#', 'SW'), ('#', 'SW'), ('사', 'NNG'), ('들', 'XSN'), ('은', 'JX')]
1346	##위와	[('#', 'SW'), ('#', 'SW'), ('위', 'NNG'), ('와', 'JC')]
1347	##경은	[('#', 'SW'), ('#', 'SW'), ('경', 'NNP'), ('은', 'JX')]
1348	세상을	[('세상', 'NNG'), ('을', 'JKO')]
1349	##주세요	[('#', 'SW'), ('#', 'SW'), ('주세', 'NNG'), ('요', 'JX')]
1350	##에게서	[('#', 'SW'), ('#', 'SW'), ('에게서', 'JKB')]
1351	##때문에	[('#', 'SW'), ('#', 'SW'), ('때문', 'NNB'), ('에', 'JKB')]
1352	이번에는	[('이번', 'NNG'), ('에', 'JKB'), ('는', 'JX')]
1353	회사의	[('회사', 'NNG'), ('의', 'JKG')]
1354	지지를	[('지지', 'NNG'), ('를', 'JKO')]
1355	씨의	[('씨', 'NNB'), ('의', 'JKG')]
1356	한국에	[('한국', 'NNP'), ('에', 'JKB')]
1357	##평을	[('#', 'SW'), ('#', 'SW'), ('평', 'NNB'), ('을', 'JKO')]
1358	몸에	[('몸', 'NNG'), ('에', 'JKB')]
1359	##시장에서	[('#', 'SW'), ('#', 'SW'), ('시장', 'NNP'), ('에서', 'JKB')]
1360	##산의	[('#', 'SW'), ('#', 'SW'), ('산', 'NNP'), ('의', 'JKG')]
1361	앞으로도	[('앞으로', 'NNP'), ('도', 'JX')]
1362	위에서	[('위', 'NNG'), ('에서', 'JKB')]
1363	##비에	[('#', 'SW'), ('#', 'SW'), ('비', 'NNG'), ('에', 'JKB')]
1364	##일로	[('#', 'SW'), ('#', 'SW'), ('일', 'NNP'), ('로', 'JKB')]
1365	술을	[('술', 'NNG'), ('을', 'JKO')]
1366	##하기는	[('#', 'SW'), ('#', 'SW'), ('하기', 'NNP'), ('는', 'JX')]
1367	목표를	[('목표', 'NNG'), ('를', 'JKO')]
1368	형태의	[('형태', 'NNG'), ('의', 'JKG')]
1369	##역에	[('#', 'SW'), ('#', 'SW'), ('역', 'NNG'), ('에', 'JKB')]
1370	투자를	[('투자', 'NNG'), ('를', 'JKO')]
1371	##살을	[('#', 'SW'), ('#', 'SW'), ('살', 'NNB'), ('을', 'JKO')]
1372	그와	[('그', 'NP'), ('와', 'JKB')]
1373	후보의	[('후보', 'NNG'), ('의', 'JKG')]
1374	예산을	[('예산', 'NNG'), ('을', 'JKO')]
1375	말로	[('말', 'NNG'), ('로', 'JKB')]
1376	법을	[('법', 'NNG'), ('을', 'JKO')]
1377	지금도	[('지금', 'NNG'), ('도', 'JX')]
1378	당의	[('당', 'NNG'), ('의', 'JKG')]
1379	역사를	[('역사', 'NNG'), ('를', 'JKO')]
1380	##까지도	[('#', 'SW'), ('#', 'SW'), ('까지', 'JX'), ('도', 'JX')]
1381	충격을	[('충격', 'NNG'), ('을', 'JKO')]
1382	##방의	[('#', 'SW'), ('#', 'SW'), ('방', 'NNP'), ('의', 'JKG')]
1383	##체로	[('#', 'SW'), ('#', 'SW'), ('체', 'NNG'), ('로', 'JKB')]
1384	속도를	[('속도', 'NNG'), ('를', 'JKO')]
1385	작품을	[('작품', 'NNG'), ('을', 'JKO')]
1386	##일의	[('#', 'SW'), ('#', 'SW'), ('일', 'NNP'), ('의', 'JKG')]
1387	운동을	[('운동', 'NNG'), ('을', 'JKO')]
1388	##래도	[('#', 'SW'), ('#', 'SW'), ('래', 'NNG'), ('도', 'JX')]
1389	자금을	[('자금', 'NNG'), ('을', 'JKO')]
1390	##위원회를	[('#', 'SW'), ('#', 'SW'), ('위원회', 'NNP'), ('를', 'JKO')]
1391	미국에	[('미국', 'NNP'), ('에', 'JKB')]
1392	팀을	[('팀', 'NNG'), ('을', 'JKO')]
1393	##조는	[('#', 'SW'), ('#', 'SW'), ('조', 'NNP'), ('는', 'JX')]
1394	제도를	[('제도', 'NNG'), ('를', 'JKO')]
1395	##군과	[('#', 'SW'), ('#', 'SW'), ('군', 'NNG'), ('과', 'JC')]
1396	나도	[('나', 'NP'), ('도', 'JX')]
1397	##국과	[('#', 'SW'), ('#', 'SW'), ('국', 'NNG'), ('과', 'JC')]
1398	##외로	[('#', 'SW'), ('#', 'SW'), ('외', 'NNB'), ('로', 'JKB')]
1399	불을	[('불', 'NNG'), ('을', 'JKO')]
1400	##적은	[('#', 'SW'), ('#', 'SW'), ('적', 'XSN'), ('은', 'JX')]
1401	##감은	[('#', 'SW'), ('#', 'SW'), ('감', 'NNG'), ('은', 'JX')]
1402	##결을	[('#', 'SW'), ('#', 'SW'), ('결', 'NNG'), ('을', 'JKO')]
1403	##구에서	[('#', 'SW'), ('#', 'SW'), ('구', 'NNP'), ('에서', 'JKB')]
1404	일종의	[('일종', 'NNG'), ('의', 'JKG')]
1405	##치와	[('#', 'SW'), ('#', 'SW'), ('치', 'XSN'), ('와', 'JC')]
1406	특유의	[('특유', 'NNG'), ('의', 'JKG')]
1407	기준을	[('기준', 'NNG'), ('을', 'JKO')]
1408	이익을	[('이익', 'NNG'), ('을', 'JKO')]
1409	여행을	[('여행', 'NNG'), ('을', 'JKO')]
1410	사람도	[('사람', 'NNG'), ('도', 'JX')]
1411	##법으로	[('#', 'SW'), ('#', 'SW'), ('법', 'NNG'), ('으로', 'JKB')]
1412	가능성은	[('가능', 'XR'), ('성', 'XSN'), ('은', 'JX')]
1413	##로로	[('#', 'SW'), ('#', 'SW'), ('로', 'JKB'), ('로', 'JKB')]
1414	결과는	[('결과', 'NNG'), ('는', 'JX')]
1415	지금의	[('지금', 'NNG'), ('의', 'JKG')]
1416	훈련을	[('훈련', 'NNG'), ('을', 'JKO')]
1417	##들로부터	[('#', 'SW'), ('#', 'SW'), ('들', 'XSN'), ('로부터', 'JKB')]
1418	경찰의	[('경찰', 'NNG'), ('의', 'JKG')]
1419	하나를	[('하나', 'NR'), ('를', 'JKO')]
1420	##림을	[('#', 'SW'), ('#', 'SW'), ('림', 'NNP'), ('을', 'JKO')]
1421	회사는	[('회사', 'NNG'), ('는', 'JX')]
1422	##목으로	[('#', 'SW'), ('#', 'SW'), ('목', 'NNG'), ('으로', 'JKB')]
1423	부분에	[('부분', 'NNG'), ('에', 'JKB')]
1424	일부는	[('일부', 'NNG'), ('는', 'JX')]
1425	아무것도	[('아무것', 'NNG'), ('도', 'JX')]
1426	사람에게	[('사람', 'NNG'), ('에게', 'JKB')]
1427	영상을	[('영상', 'NNG'), ('을', 'JKO')]
1428	말은	[('말', 'NNG'), ('은', 'JX')]
1429	##업에	[('#', 'SW'), ('#', 'SW'), ('업', 'NNG'), ('에', 'JKB')]
1430	처음에는	[('처음', 'NNG'), ('에', 'JKB'), ('는', 'JX')]
1431	한은	[('한', 'NNP'), ('은', 'JX')]
1432	##락을	[('#', 'SW'), ('#', 'SW'), ('락', 'NNG'), ('을', 'JKO')]
1433	##선에서	[('#', 'SW'), ('#', 'SW'), ('선', 'NNG'), ('에서', 'JKB')]
1434	최근에는	[('최근', 'NNG'), ('에', 'JKB'), ('는', 'JX')]
1435	협상을	[('협상', 'NNG'), ('을', 'JKO')]
1436	##a는	[('#', 'SW'), ('#', 'SW'), ('a', 'SL'), ('는', 'JX')]
1437	대표와	[('대표', 'NNG'), ('와', 'JC')]
1438	##면으로	[('#', 'SW'), ('#', 'SW'), ('면', 'NNG'), ('으로', 'JKB')]
1439	본인의	[('본인', 'NNG'), ('의', 'JKG')]
1440	일부를	[('일부', 'NNG'), ('를', 'JKO')]
1441	그들을	[('그', 'NP'), ('들', 'XSN'), ('을', 'JKO')]
1442	##미의	[('#', 'SW'), ('#', 'SW'), ('미', 'NNP'), ('의', 'JKG')]
1443	##테인	[('#', 'SW'), ('#', 'SW'), ('테이', 'NNP'), ('ㄴ', 'JX')]
1444	조사에	[('조사', 'NNG'), ('에', 'JKB')]
1445	일본은	[('일본', 'NNP'), ('은', 'JX')]
1446	콘서	[('콘', 'NNG'), ('서', 'JKB')]
1447	##식에서	[('#', 'SW'), ('#', 'SW'), ('식', 'NNB'), ('에서', 'JKB')]
1448	##기만	[('#', 'SW'), ('#', 'SW'), ('이', 'VCP'), ('기', 'ETN'), ('만', 'JX')]
